,word,frequency
658,로제,127
659,되서,127
660,하지,126
661,부추,126
662,눈,125
663,취향,125
664,늦었지만,125
665,구로,125
666,먹을수,124
667,잇습니다,124
668,잇어용,124
669,찐,124
670,맥날,124
671,하루,123
672,시키면,123
673,불맛,123
674,괜찮고,123
675,이서,123
676,맘,123
677,받은,122
678,두툼,122
679,많구,121
680,자극,121
681,인정,121
682,짜,121
683,시원하고,121
684,쏘,121
685,맛있구요,120
686,빼,120
687,실수,120
688,볶음,120
689,계란,120
690,잘못,119
691,먹을거,119
692,먹으니까,119
693,다리,119
694,함박,119
695,해주세요,118
696,드려요,118
697,괜찮았어요,118
698,싶어서,118
699,넉넉히,118
700,맥,118
701,될,118
702,샐러드,118
703,곱빼기,117
704,깜짝,117
705,정시,117
706,은,117
707,보내주셔서,116
708,모든,116
709,보,115
710,있었습니다,115
711,양파,115
712,물냉면,114
713,봤어요,114
714,먹어야,114
715,문제,114
716,콤보,114
717,먹을만,113
718,드렸는데,113
719,욥,113
720,시켜도,113
721,닭다리,113
722,크기,113
723,왕,113
724,통닭,113
725,해봤는데,112
726,매일,112
727,크고,112
728,정착,112
729,이틀,112
730,크림,112
731,맥주,112
732,왔는데,112
733,야들야들,112
734,육개장,112
735,불어,111
736,아쉬웠지만,111
737,뜨,111
738,친절하세요,111
739,정신없이,111
740,호,111
741,엄마,110
742,두,110
743,대신,110
744,찹쌀,109
745,해물,109
746,해도,109
747,행사,109
748,식감,108
749,아쉬운,107
750,많아,107
751,빼고,107
752,간도,107
753,아쉬웠습니다,107
754,써요,107
755,햇,107
756,하기,107
757,닭발,107
758,둘이서,106
759,같아서,106
760,많았어요,106
761,꼬치,106
762,날치,106
763,없습니다,105
764,갑자기,105
765,아쉽,105
766,늦었네요,105
767,더욱,105
768,일반,104
769,고구마,104
770,켯,104
771,차이나,104
772,아아,104
773,자꾸,104
774,호점,104
775,넉넉하게,103
776,좀더,103
777,먹었던,103
778,원,102
779,잡내,102
780,돼지,102
781,생선,102
782,늦어서,101
783,스,101
784,중식,100
785,크,100
786,많습니다,99
787,깜박,99
788,넣어,99
789,생각나는,99
790,당황,99
791,고소하고,99
792,소금,99
793,직원,99
794,참치,99
795,면도,98
796,혜자,98
797,이었는데,98
798,않아,98
799,스타일,98
800,했더니,98
801,속,98
802,아니고,98
803,안주,98
804,상추,98
805,런가,97
806,이사,97
807,기,97
808,왔지만,97
809,료,97
810,오는,97
811,굉장히,97
812,끈,97
813,쫄면,97
814,도전,96
815,먹지만,96
816,따뜻한,96
817,좋을,96
818,비빔밥,96
819,패티,96
820,들어,95
821,있었는데,95
822,주,95
823,해주시,95
824,바,94
825,김말이,94
826,롤,94
827,맛있구,93
828,첫,93
829,먹으려고,93
830,옴,93
831,찍,93
832,유,93
833,쵝오,93
834,컵밥,93
835,잡채,92
836,적은,92
837,빠르구,92
838,조리,92
839,리지,92
840,참고,92
841,김치전,92
842,드셔,91
843,연속,91
844,남편,91
845,찍었는데,91
846,비냉,91
847,겁나,90
848,받고,90
849,든든하게,90
850,저렴하고,90
851,싶네요,90
852,술,90
853,챙겨주셔서,90
854,업,90
855,전혀,90
856,센스,90
857,올리브,90
858,헤븐,90
859,짐하네요,89
860,문,89
861,솔직히,89
862,돼서,89
863,빼고는,89
864,최근,89
865,고생,89
866,아빠,89
867,종류,89
868,돈,89
869,위,89
870,간,88
871,부탁드려요,88
872,적어서,88
873,보세요,88
874,시키고,88
875,좋구요,88
876,않네요,88
877,적,88
878,있었지만,87
879,당연히,87
880,맛남,87
881,가슴,87
882,물,86
883,너무나,86
884,같아,86
885,좋겠습니다,86
886,였는데,86
887,있게,86
888,먹엇어,86
889,잇게잘,86
890,않은,86
891,짜지,85
892,가득,85
893,요리,85
894,만족스럽습니다,85
895,그거,85
896,끝,85
897,새해,85
898,벌써,85
899,촉촉하고,85
900,허니,85
901,윙,85
902,맵기,85
903,깔끔한,84
904,누락,84
905,흡입,84
906,나눠,84
907,먹었고,84
908,쫄깃쫄깃,84
909,나쁘지,84
910,몇번,84
911,참잘,84
912,맛있더라고요,83
913,복,83
914,하다가,83
915,부탁드렸는데,83
916,염,83
917,어요,83
918,많은데,83
919,엇습,83
920,있음,83
921,용기,82
922,먹어야겠어요,82
923,채소,82
924,잡내도,82
925,좋았는데,82
926,식지,82
927,옹,82
928,오오오,82
929,닭볶음탕,82
930,덕,81
