,word,frequency
1153,크림,36
1154,걸렸지만,36
1155,잇음,36
1156,콘,36
1157,베이컨,36
1158,됩니다,36
1159,핫반,36
1160,슈비,36
1161,다른거,35
1162,오는데,35
1163,삼선짬뽕,35
1164,칠리,35
1165,먹으려,35
1166,무지,35
1167,맛있었음,35
1168,음료수,35
1169,장사,35
1170,덩어리,35
1171,보내,35
1172,하다가,35
1173,해주시는,35
1174,동생,35
1175,좋을것,35
1176,들어요,35
1177,엇어,35
1178,뻑뻑,35
1179,걸렸어요,35
1180,요리왕,35
1181,나온,35
1182,라이더,35
1183,브랜드,35
1184,뚜껑,35
1185,커리,35
1186,뻔,34
1187,제육,34
1188,절반,34
1189,버섯,34
1190,값,34
1191,먹을듯,34
1192,끔,34
1193,출발,34
1194,흡입,34
1195,벌써,34
1196,인생,34
1197,좋다,34
1198,이사,34
1199,사이다,34
1200,빼면,34
1201,먹었음,34
1202,좋았네요,34
1203,촉촉하고,34
1204,햄,34
1205,식고,34
1206,신분,34
1207,맛있구,34
1208,마싯어요,34
1209,먹었을,34
1210,갑니다,34
1211,누가,34
1212,많구,34
1213,모르고,34
1214,밑,34
1215,상하이,34
1216,없는데,34
1217,먹었지만,34
1218,시켰습니다,34
1219,림프,34
1220,케첩,34
1221,모짜렐라,34
1222,살로,34
1223,무도,34
1224,함박스테이크,34
1225,와주셔서,33
1226,널,33
1227,첫,33
1228,겁니다,33
1229,잇어서,33
1230,마싯,33
1231,스럽네요,33
1232,요구사항,33
1233,충분히,33
1234,먹었는데도,33
1235,해주신,33
1236,장난,33
1237,부,33
1238,맛있긴,33
1239,좋아여,33
1240,오시,33
1241,씁니다,33
1242,쇼,33
1243,대요,33
1244,온거,33
1245,담백하고,33
1246,비오는데,33
1247,되고,33
1248,이상한,33
1249,보시,33
1250,사실,33
1251,질리,33
1252,너겟,33
1253,제로,33
1254,좋아합니다,33
1255,크리스,33
1256,국수,33
1257,자메이카,33
1258,치밥,33
1259,토핑,32
1260,많습니다,32
1261,대,32
1262,깔,32
1263,진하고,32
1264,보네요,32
1265,비빔냉면,32
1266,친절해요,32
1267,먹어야겠어요,32
1268,바랍니다,32
1269,맵기,32
1270,층,32
1271,먹는거,32
1272,젠,32
1273,어플,32
1274,괜찮습니다,32
1275,쪽,32
1276,챙겨주셔서,32
1277,봉,32
1278,먹었고,32
1279,복,32
1280,있었으면,32
1281,주,32
1282,보장,32
1283,차갑게,32
1284,쓰,32
1285,한우,32
1286,머,32
1287,새해,32
1288,열무,32
1289,푸라,32
1290,만족했습니다,31
1291,딸,31
1292,남은,31
1293,작고,31
1294,설명,31
1295,많음,31
1296,쓰는데,31
1297,없을,31
1298,은근,31
1299,콤,31
1300,해주시고,31
1301,늦었네요,31
1302,비닐,31
1303,맛있죠,31
1304,깜박,31
1305,해달라고,31
1306,없지만,31
1307,대충,31
1308,체고,31
1309,아쉬웠네요,31
1310,사용,31
1311,봣,31
1312,갈비탕,31
1313,친절하셨어요,31
1314,아쉬움,31
1315,종류,31
1316,일부러,31
1317,술,31
1318,했다고,31
1319,맞춰,31
1320,불구,31
1321,빠져서,31
1322,받자마자,31
1323,고구마,31
1324,싸게,31
1325,까치산,31
1326,편하게,30
1327,나눠,30
1328,괜찮았는데,30
1329,짜네요,30
1330,보는,30
1331,할듯,30
1332,모르겠네요,30
1333,남,30
1334,같음,30
1335,신속,30
1336,으,30
1337,분명,30
1338,소리,30
1339,봉지,30
1340,오셔서,30
1341,싹,30
1342,맛있었,30
1343,먹었더니,30
1344,빨라,30
1345,경우,30
1346,잇는,30
1347,안주시,30
1348,전화했더니,30
1349,친절한,30
1350,죽,30
1351,맛있네여,30
1352,스태커,30
1353,클래식,30
1354,버터,30
1355,까스,30
1356,맛쵸킹,30
1357,했던,29
1358,김치볶음밥,29
1359,맞게,29
1360,무시,29
1361,요로,29
1362,튼,29
1363,놀랐네요,29
1364,쪼금,29
1365,시원하게,29
1366,배불러요,29
1367,무척,29
1368,궁금해서,29
1369,하신,29
1370,맛있었네요,29
1371,잡내,29
1372,갖다,29
1373,먹었었는데,29
1374,상,29
1375,좋을듯,29
1376,늦고,29
1377,얼,29
1378,만족스럽습니다,29
1379,뿌려,29
1380,준,29
1381,편하고,29
1382,위생,29
1383,그나마,29
1384,영업,29
1385,도넛,29
1386,티,28
1387,도안,28
1388,적당한,28
1389,눅눅해서,28
1390,삼선,28
1391,디,28
1392,잡내도,28
1393,뿔,28
1394,해산물,28
1395,까,28
1396,오긴,28
1397,한참,28
