,word,frequency
1319,주소,62
1320,피제이,62
1321,넣어서,61
1322,좋구,61
1323,만족스러운,61
1324,무지,61
1325,온거,61
1326,감사해용,61
1327,받았는데,61
1328,분명,61
1329,빨대,61
1330,할듯,61
1331,들어간,61
1332,이제야,61
1333,루,61
1334,싱싱하고,61
1335,딸,61
1336,눅눅하고,61
1337,볼,61
1338,조아,61
1339,구이,61
1340,그게,60
1341,왓,60
1342,기간,60
1343,비오는데,60
1344,좋을거,60
1345,받으세요,60
1346,해주신,60
1347,쓰,60
1348,해주시는,60
1349,전화해서,60
1350,먹으면서,60
1351,시킬거,60
1352,맛있죠,60
1353,마싯,60
1354,대요,60
1355,채,60
1356,육즙,60
1357,혼술,60
1358,숯불,60
1359,국밥,60
1360,좋아하시는,59
1361,남자,59
1362,봉,59
1363,신청,59
1364,간단하게,59
1365,빠르고요,59
1366,다신,59
1367,먹었었는데,59
1368,제발,59
1369,식어,59
1370,만원,59
1371,잇는,59
1372,라볶이,59
1373,하시길,59
1374,추억,59
1375,다르게,59
1376,반영,59
1377,엇어,59
1378,배불러요,59
1379,궁합,59
1380,으,59
1381,포테이토,59
1382,겉바,59
1383,베이컨,59
1384,마요네즈,59
1385,안심,59
1386,튀는,59
1387,음식점,58
1388,고요,58
1389,먹었어,58
1390,불향,58
1391,까,58
1392,최소,58
1393,미쳤어요,58
1394,머리카락,58
1395,따뜻해서,58
1396,세상,58
1397,뚜껑,58
1398,먹었어여,58
1399,만큼,58
1400,촉,58
1401,내장,58
1402,매호,58
1403,필수,57
1404,만족했습니다,57
1405,생,57
1406,보네요,57
1407,남겨요,57
1408,세,57
1409,먹을것,57
1410,쓰는데,57
1411,덩어리,57
1412,남아,57
1413,영업,57
1414,메인,57
1415,부드러운,57
1416,경우,57
1417,쉬,57
1418,웃,57
1419,그래요,57
1420,브랜드,57
1421,조림,57
1422,곰탕,57
1423,맛있었네요,56
1424,확,56
1425,하구,56
1426,불구,56
1427,어플,56
1428,버려서,56
1429,시켰더니,56
1430,징,56
1431,힘내세요,56
1432,찍었습니다,56
1433,초,56
1434,방학,56
1435,없지만,56
1436,어른,56
1437,친절하셨어요,56
1438,빼면,56
1439,좋아하네요,56
1440,꼼꼼히,56
1441,일부러,56
1442,진짜진짜,56
1443,아쉬운건,56
1444,있었으면,56
1445,차고,56
1446,콘,56
1447,호식,56
1448,차돌,55
1449,들어있고,55
1450,나머지,55
1451,죄송해요,55
1452,먹었음,55
1453,오시,55
1454,좋을듯,55
1455,샌드위치,55
1456,녹아서,55
1457,기름기,55
1458,외,55
1459,좋다,55
1460,들어요,55
1461,쿨,55
1462,회사,55
1463,요구르트,55
1464,미스터,55
1465,투움바,55
1466,오는데,54
1467,먹어용,54
1468,죽,54
1469,싹싹,54
1470,담번,54
1471,평타,54
1472,체고,54
1473,맛있었음,54
1474,꾸,54
1475,걸렸어요,54
1476,몇개,54
1477,라이,54
1478,방,54
1479,딱딱해서,54
1480,부대찌개,54
1481,같음,54
1482,연어초밥,54
1483,스테이크,54
1484,걸린다고,54
1485,매운데,54
1486,진짜루,54
1487,출발,54
1488,토마토,54
1489,행컵,54
1490,물냉,54
1491,떡순,54
1492,집중,53
1493,즐거운,53
1494,예술,53
1495,어유,53
1496,소,53
1497,친절해요,53
1498,이벤,53
1499,뜨거운,53
1500,매주,53
1501,만점,53
1502,많구요,53
1503,알았어요,53
1504,놀랐네요,53
1505,그치만,53
1506,같아용,53
1507,좋았네요,53
1508,한참,53
1509,싸,53
1510,모르겠네요,53
1511,커리,53
1512,뿌링,53
1513,추워서,53
1514,탑,53
1515,뭐해,53
1516,크게,53
1517,쌈장,53
1518,다이어트,53
1519,절반,53
1520,퇴근,53
1521,두께,53
1522,링,53
1523,오래된,53
1524,바나나,53
1525,메모,52
1526,오셔서,52
1527,이리,52
1528,깔끔해서,52
1529,만족스러워요,52
1530,적당해서,52
1531,기준,52
1532,돼지고기,52
1533,바랍니다,52
1534,위생,52
1535,드시는,52
1536,올만에,52
1537,역대,52
1538,어어,52
1539,인기,52
1540,좋아합니다,52
1541,손님,52
1542,비빔,52
1543,해야겠어요,52
1544,회도,52
1545,급,52
1546,앙,52
1547,마라,52
1548,계란말이,52
1549,없었는데,51
1550,참여,51
1551,중국음식,51
1552,마다,51
1553,되면,51
1554,수가,51
1555,도리,51
1556,편하게,51
1557,봐도,51
1558,짜리,51
1559,묵,51
1560,사과,51
1561,됐어요,51
1562,국,51
1563,살살,51
1564,답,51
1565,않습니다,51
1566,스럽네요,51
1567,삼선,50
1568,오지,50
1569,신건,50
1570,이구,50
1571,공기밥,50
1572,중이,50
1573,전문점,50
1574,종이,50
1575,들어가서,50
1576,기만,50
1577,넣어주셔서,50
1578,편하고,50
1579,짜네요,50
1580,감칠맛,50
1581,신선한,50
1582,순식간,50
1583,오이,50
1584,베리,50
1585,준,50
1586,찔이라,50
1587,다른거,50
1588,닷,50
1589,아쉬웠네요,50
1590,먹지,50
1591,잇어여,50
1592,갈비찜,50
1593,치즈버거,50
1594,우리동네,49
1595,친절한,49
1596,챙겨주시고,49
1597,감탄,49
1598,삼선짬뽕,49
1599,아무튼,49
1600,같았어요,49
1601,여러,49
1602,이면,49
1603,다른데,49
1604,엄지,49
1605,깐,49
1606,방금,49
1607,총알,49
1608,도안,49
1609,안주시,49
1610,아주아주,49
1611,냉동,49
1612,나온,49
1613,짠단,49
1614,익어서,49
1615,개맛,49
1616,봉지,49
1617,보쌈김치,49
1618,백김치,49
1619,않았습니다,49
1620,식당,49
1621,볼게요,49
1622,직화,49
1623,신분,49
1624,재구매,49
1625,공기,49
1626,랩,49
