,word,frequency
837,하겠습니다,8
838,나도,8
839,받았습니다,8
840,특히,8
841,맛있고,8
842,뿔,8
843,없을,8
844,주먹밥,8
845,루,8
846,범벅,8
847,봐서,8
848,상,8
849,포함,8
850,있어,8
851,층,8
852,히,8
853,시켰더니,8
854,어플,8
855,빠진,8
856,냉장고,8
857,보다,8
858,뿌링클,8
859,딱딱해요,8
860,시킴,8
861,맛있는,8
862,링,8
863,신분,8
864,걸리네요,8
865,아까,8
866,식감,8
867,은,8
868,후회,8
869,느려요,8
870,굉장히,8
871,비벼,8
872,군,8
873,하다가,8
874,갑자기,8
875,마늘,8
876,풍,8
877,왓,8
878,야할듯,8
879,색,8
880,설명,8
881,금방,8
882,부어,8
883,정확히,8
884,만들어서,8
885,지연,8
886,누린내가,8
887,먹어도,8
888,안좋은,8
889,일부러,8
890,맛있네요,8
891,봐도,8
892,적은,8
893,그런것은지,8
894,받자마자,8
895,부탁드립니다,8
896,맵기만,8
897,없네,8
898,걸려,8
899,기다려서,8
900,먹으라고,8
901,탕,8
902,심해서,8
903,왠만하면,8
904,캔,8
905,돈가스,8
906,지도,8
907,그닥,8
908,알바생,8
909,늦게와,8
910,편의점,8
911,좋지,8
912,아까워요,8
913,않아,8
914,절반,8
915,맛없고,8
916,왔네,8
917,되네요,8
918,여긴,8
919,좋겠네요,8
920,단,8
921,먹으라,8
922,별하나,8
923,카드,8
924,눅눅해서,8
925,좋아해서,8
926,튀는,8
927,줌,8
928,씁니다,8
929,추운,8
930,황금,8
931,올리브,8
932,눅눅함,8
933,근처,8
934,킹,8
935,일이,8
936,써서,8
937,맥도날드,8
938,죄송하다는,7
939,듯이,7
940,열,7
941,불친절,7
942,똑바로,7
943,많네요,7
944,홍합,7
945,할거,7
946,갈수록,7
947,맛집,7
948,싶네요,7
949,써요,7
950,기다리고,7
951,딱딱한,7
952,대체,7
953,받지,7
954,뚝,7
955,실망했습니다,7
956,빠른,7
957,비도,7
958,주심,7
959,드셔,7
960,거짓말,7
961,쓰시,7
962,다르게,7
963,주인,7
964,음료수,7
965,되나요,7
966,남기는데,7
967,기억,7
968,거기,7
969,모를,7
970,음식물,7
971,적어,7
972,덕분,7
973,웬만하면,7
974,이런거,7
975,피클,7
976,익은,7
977,보이는,7
978,하려고,7
979,할듯,7
980,그동안,7
981,하더라고요,7
982,눈,7
983,종종,7
984,눌러,7
985,살면서,7
986,다른건,7
987,맘,7
988,기다려,7
989,회사,7
990,급하게,7
991,고민,7
992,하다,7
993,런가,7
994,나옴,7
995,갈색,7
996,점점,7
997,아쉽습니다,7
998,했는지,7
999,갈비,7
1000,않,7
1001,안쪽,7
1002,갈,7
1003,최고,7
1004,바쁜,7
1005,어쩔,7
1006,맛있음,7
1007,번호,7
1008,안좋네요,7
1009,태도,7
1010,할까,7
1011,첫,7
1012,좋아서,7
1013,였네요,7
1014,드립니다,7
1015,걸린,7
1016,먹겠어요,7
1017,다른거,7
1018,낫,7
1019,해산물,7
1020,되는,7
1021,마른,7
1022,아까워서,7
1023,되게,7
1024,비린내가,7
1025,된거,7
1026,코로나,7
1027,마,7
1028,영수증,7
1029,깐,7
1030,파는,7
1031,어묵,7
1032,삼겹살,7
1033,않습니다,7
1034,뜨,7
1035,절,7
1036,다른데,7
1037,면도,7
1038,들어있는,7
1039,감도,7
1040,눅눅하네요,7
1041,인지,7
1042,불만족,7
1043,이었어요,7
1044,않았어요,7
1045,하기도,7
1046,스럽습니다,7
1047,볶음,7
1048,공기밥,7
1049,먹는다,7
1050,속상하네요,7
1051,제품,7
1052,판매,7
1053,불구,7
1054,넘어,7
1055,방치,7
1056,으,7
1057,짬,7
1058,맨날,7
1059,쓰고,7
1060,시킨지,7
1061,변경,7
1062,콤보,7
1063,본인,7
1064,아무,7
1065,있어요,7
1066,빠른데,7
1067,봉,7
1068,눅눅한,7
1069,않을,7
1070,줍니다,7
1071,세,7
1072,먹을걸,7
1073,물이,7
1074,늦은,7
1075,할것,7
1076,노맛,7
1077,아닙니까,7
1078,포테이토,7
1079,맥,7
1080,만해,7
1081,공지,7
1082,내장,7
1083,굳이,7
1084,옛날,7
1085,반도,7
1086,오네,7
1087,없었고,7
1088,식어있고,7
1089,귀찮아서,7
1090,튀도,7
1091,차갑네요,7
1092,기도,7
1093,일회용,6
1094,그게,6
1095,삭제,6
1096,쟁반짜장,6
1097,인간,6
1098,돼지고기,6
1099,들어서,6
1100,아까운,6
1101,노력,6
1102,너무나,6
1103,분리,6
1104,문안,6
1105,서는,6
1106,야하는거,6
1107,드릴,6
1108,깜짝,6
1109,커피,6
1110,안내,6
1111,비교,6
1112,국수,6
1113,먹었지만,6
1114,하시면,6
1115,육회,6
1116,남겼어요,6
1117,접,6
1118,나왔어요,6
1119,실망했어요,6
1120,매워요,6
1121,빼고는,6
1122,이집,6
1123,상한,6
1124,모르겠고,6
1125,상품,6
1126,왓네,6
1127,평가,6
1128,되,6
1129,평이,6
1130,좋았습니다,6
1131,봤지만,6
1132,맛없는,6
1133,늦게오고,6
1134,수고,6
1135,교촌,6
1136,비린내,6
1137,해주셔서,6
1138,좋아하는,6
1139,않은데,6
1140,가락,6
1141,비주,6
1142,눌려,6
1143,사이드,6
1144,먹으면서,6
1145,하셔서,6
1146,보낸,6
1147,맛있다고,6
1148,듬뿍,6
1149,오래된거,6
1150,했다,6
1151,않겠습니다,6
1152,애초,6
1153,시작,6
1154,담아서,6
1155,보관,6
1156,기름기,6
1157,먹었었는데,6
1158,몰라도,6
1159,수가,6
1160,했으면,6
1161,보기,6
1162,여태,6
1163,보내고,6
1164,버섯,6
1165,향,6
1166,짭니다,6
1167,될,6
1168,터지고,6
1169,별도,6
1170,없는게,6
1171,있다고,6
1172,와요,6
1173,세번,6
1174,의사,6
1175,남은,6
1176,됩니까,6
1177,식음,6
1178,소비자,6
1179,닭고기,6
1180,딱딱하게,6
1181,이었는데,6
1182,불편,6
1183,지난번,6
1184,먹겠어서,6
1185,쌀,6
1186,타임,6
1187,계란찜,6
1188,시킬거,6
1189,신맛,6
1190,엄청나게,6
1191,찝,6
1192,도대체,6
1193,친구,6
1194,설탕,6
1195,그럴,6
1196,매운거,6
1197,채소,6
1198,입력,6
1199,가보니,6
1200,알겠는데,6
1201,느끼하고,6
1202,배고파서,6
1203,남겼습니다,6
1204,많음,6
1205,삼선짬뽕,6
1206,준다고,6
1207,느림,6
1208,먹었을,6
1209,굽,6
1210,맛없어서,6
1211,나오는,6
1212,가봐요,6
1213,헐,6
1214,이럴,6
1215,육즙,6
1216,빠져서,6
1217,누르지,6
1218,먹고싶어서,6
1219,먹게,6
1220,걸린다고,6
1221,오는데,6
1222,진상,6
1223,돌,6
1224,속이,6
1225,튀긴지,6
1226,빨,6
1227,암튼,6
1228,먹겠네요,6
1229,되는데,6
1230,시켰던,6
1231,많아요,6
1232,금액,6
1233,돌고,6
1234,인,6
1235,보세요,6
1236,부탁드렸는데,6
1237,가면,6
1238,맹물,6
1239,받는,6
1240,똑같이,6
1241,식었고,6
1242,아이스크림,6
1243,한장,6
1244,갔다,6
1245,김치찌개,6
1246,김치볶음밥,6
1247,지역,6
1248,무는,6
1249,그걸,6
1250,분지,6
1251,튀겨,6
1252,호식,6
1253,걸렸네요,6
1254,켰는데,6
1255,욕,6
1256,역대,6
1257,걸렸고,6
1258,테이프,6
1259,스프,6
1260,젖어서,6
1261,맥날,6
1262,스낵,6
1263,맛쵸킹,6
1264,신선,6
1265,오이,6
1266,바사삭,6
1267,찾으러,5
1268,남자,5
1269,센터,5
1270,메모,5
1271,낭비,5
1272,방장,5
1273,같지,5
1274,그렇다치고,5
1275,인사,5
1276,다르네요,5
1277,랜덤,5
1278,알았으면,5
1279,맛있습니다,5
1280,기대,5
1281,결,5
1282,고해,5
1283,서야,5
1284,놀랐네요,5
1285,하시나요,5
1286,대자,5
1287,안되는,5
1288,댓글,5
1289,여자,5
1290,만든거,5
1291,더라고요,5
1292,싶었는데,5
1293,시기,5
1294,아무튼,5
1295,품질,5
1296,쓰,5
1297,알았네요,5
1298,소요,5
1299,바뀌었나,5
1300,지불,5
1301,클레,5
1302,물건,5
1303,담아,5
1304,원주고,5
1305,간만,5
1306,다가,5
1307,식은거,5
1308,됩니다,5
1309,살짝,5
1310,커녕,5
1311,군데,5
1312,피드백,5
1313,할수,5
1314,의심,5
1315,웨,5
1316,씹는,5
1317,일회용품,5
1318,과자,5
1319,얼,5
1320,가성,5
1321,아닌것,5
1322,드리고,5
1323,스파게티,5
1324,흠,5
1325,량,5
1326,비린,5
1327,스시,5
1328,시키는데,5
1329,비싼,5
1330,주신,5
1331,용,5
1332,반복,5
1333,거마,5
1334,되고,5
1335,다행,5
1336,들어가,5
1337,쓴맛,5
1338,분전,5
1339,십분,5
1340,않음,5
1341,괜히,5
1342,있었습니다,5
1343,있더라고요,5
1344,안보,5
1345,버려서,5
1346,들이,5
1347,느리네요,5
1348,들었네요,5
1349,닭볶음탕,5
1350,오픈,5
1351,했는데요,5
1352,아쉬웠습니다,5
1353,살로,5
1354,전화해도,5
1355,끈,5
1356,먹어야,5
1357,계산,5
1358,기존,5
1359,매워서,5
1360,포기,5
1361,시켰다가,5
1362,대응,5
1363,한다,5
1364,괜찮아서,5
1365,맞춰,5
1366,먹으면,5
1367,명,5
1368,챙겨,5
1369,상해,5
1370,심하게,5
1371,비는,5
1372,절대로,5
1373,수분,5
1374,심하고,5
1375,좋습니다,5
1376,불어있고,5
1377,잇는,5
1378,푸,5
1379,컵밥,5
1380,쓰는,5
1381,드시지,5
1382,없더라고요,5
1383,맞지,5
1384,오는건,5
1385,최소,5
1386,숙주,5
1387,분뒤,5
1388,있었으면,5
1389,있으면,5
1390,많은데,5
1391,줘도,5
1392,안전,5
1393,있음,5
1394,간반,5
1395,특밥,5
1396,겼어요,5
1397,바뀐건,5
1398,수도,5
1399,대행,5
1400,물냉면,5
1401,비빔냉면,5
1402,하도,5
1403,맞는,5
1404,정,5
1405,있지만,5
1406,최근,5
1407,남겼는데,5
1408,아니지만,5
1409,찌꺼기,5
1410,들어가서,5
1411,없었는데,5
1412,탓,5
1413,하는지,5
1414,아닙니다,5
1415,아깝습니다,5
1416,해놓고,5
1417,바쁘,5
1418,둘다,5
1419,굴,5
1420,볶은,5
1421,먹을듯,5
1422,이상해서,5
1423,굳은,5
1424,죄송하단,5
1425,버린,5
1426,입안,5
1427,오버,5
1428,바뀐,5
1429,볼케이노,5
